term,gene
Viral carcinogenesis,STAT5A
Viral carcinogenesis,STAT5B
Viral carcinogenesis,H2BC12
Viral carcinogenesis,RBPJ
Viral carcinogenesis,CCR5
Viral carcinogenesis,HDAC10
Viral carcinogenesis,H4C14
Viral carcinogenesis,CREBBP
Viral carcinogenesis,EP300
Viral carcinogenesis,KAT2A
Viral carcinogenesis,GTF2H2C_2
Viral carcinogenesis,HLA-G
Viral carcinogenesis,HLA-F
Viral carcinogenesis,HLA-E
Viral carcinogenesis,HLA-C
Viral carcinogenesis,HLA-B
Viral carcinogenesis,IRF3
Viral carcinogenesis,HLA-A
Viral carcinogenesis,ATP6V0D2
Viral carcinogenesis,HNRNPK
Viral carcinogenesis,RAC1
Viral carcinogenesis,GTF2H2C
Viral carcinogenesis,TBP
Viral carcinogenesis,TBPL2
Viral carcinogenesis,GTF2H4
Viral carcinogenesis,RASA2
Viral carcinogenesis,GTF2H3
Viral carcinogenesis,GTF2H2
Viral carcinogenesis,GTF2H1
Viral carcinogenesis,GTF2E2
Viral carcinogenesis,GTF2E1
Viral carcinogenesis,GTF2B
Viral carcinogenesis,GTF2A2
Viral carcinogenesis,GTF2A1
Viral carcinogenesis,GTF2A1L
Viral carcinogenesis,SRF
Viral carcinogenesis,DDX3X
Viral carcinogenesis,SNW1
Viral carcinogenesis,EGR2
Viral carcinogenesis,TRAF2
Viral carcinogenesis,IRF7
Viral carcinogenesis,DNAJA3
Viral carcinogenesis,HPN
Viral carcinogenesis,MRPS18B
Viral carcinogenesis,SND1
Viral carcinogenesis,EGR3
Viral carcinogenesis,RHOA
Viral carcinogenesis,IRF9
Viral carcinogenesis,H4C7
Viral carcinogenesis,PMAIP1
Viral carcinogenesis,H4C5
Viral carcinogenesis,H4C2
Viral carcinogenesis,H4C8
Viral carcinogenesis,PIK3CA
Viral carcinogenesis,IKBKG
Viral carcinogenesis,RELA
Viral carcinogenesis,PIK3CB
Viral carcinogenesis,NFKB1
Viral carcinogenesis,PIK3CD
Viral carcinogenesis,TP53
Viral carcinogenesis,PKM
Viral carcinogenesis,KAT2B
Viral carcinogenesis,BAK1
Viral carcinogenesis,H4C3
Viral carcinogenesis,RB1
Viral carcinogenesis,H4C11
Viral carcinogenesis,SP100
Viral carcinogenesis,H4C12
Viral carcinogenesis,ATF2
Viral carcinogenesis,H4C6
Viral carcinogenesis,PRKACG
Viral carcinogenesis,GSN
Viral carcinogenesis,SCIN
Viral carcinogenesis,PRKACB
Viral carcinogenesis,POLB
Viral carcinogenesis,RBPJL
Viral carcinogenesis,DDB1
Viral carcinogenesis,CCND1
Viral carcinogenesis,H4C13
Viral carcinogenesis,TBPL1
Viral carcinogenesis,CASP3
Viral carcinogenesis,REL
Viral carcinogenesis,CASP8
Viral carcinogenesis,EIF2AK2
Viral life cycle - HIV-1,MAP1A
Viral life cycle - HIV-1,MAP1B
Viral life cycle - HIV-1,BST2
Viral life cycle - HIV-1,CCNT1
Viral life cycle - HIV-1,MLLT1
Viral life cycle - HIV-1,CCNT2
Viral life cycle - HIV-1,MLLT3
Viral life cycle - HIV-1,HGS
Viral life cycle - HIV-1,CD4
Viral life cycle - HIV-1,MX1
Viral life cycle - HIV-1,MX2
Viral life cycle - HIV-1,APOBEC3F
Viral life cycle - HIV-1,KAT2B
Viral life cycle - HIV-1,NELFCD
Viral life cycle - HIV-1,VPS4B
Viral life cycle - HIV-1,APOBEC3B
Viral life cycle - HIV-1,SUPT5H
Viral life cycle - HIV-1,FEZ1
Viral life cycle - HIV-1,PIN1
Viral life cycle - HIV-1,SUPT4H1
Viral life cycle - HIV-1,PPIA
Viral life cycle - HIV-1,MAP1S
Viral life cycle - HIV-1,SMARCB1
Viral life cycle - HIV-1,APOBEC3G
Viral life cycle - HIV-1,FURIN
Viral life cycle - HIV-1,TRIM5
Viral life cycle - HIV-1,CHMP4A
Viral life cycle - HIV-1,ELL
Viral life cycle - HIV-1,APOBEC3A
Viral life cycle - HIV-1,APOBEC3H
Viral life cycle - HIV-1,APOBEC3D
Viral life cycle - HIV-1,CREBBP
Viral life cycle - HIV-1,CHMP4B
Viral life cycle - HIV-1,TSG101
Viral life cycle - HIV-1,ELL2
Viral life cycle - HIV-1,BICD2
Viral life cycle - HIV-1,SERINC5
Viral life cycle - HIV-1,PSIP1
Viral life cycle - HIV-1,SERINC3
Viral life cycle - HIV-1,BICD1
Viral life cycle - HIV-1,NELFB
Viral life cycle - HIV-1,SAMHD1
Viral life cycle - HIV-1,KAT2A
Viral life cycle - HIV-1,NELFA
Viral life cycle - HIV-1,APOBEC3A_B
Viral life cycle - HIV-1,PDCD6IP
Viral life cycle - HIV-1,CXCR4
Viral life cycle - HIV-1,NELFE
Viral life cycle - HIV-1,AFF4
Viral life cycle - HIV-1,VPS4A
Viral life cycle - HIV-1,APOBEC3C
Viral life cycle - HIV-1,CHMP6
Viral life cycle - HIV-1,ELL3
Viral life cycle - HIV-1,EP300
Viral life cycle - HIV-1,CDK9
Viral life cycle - HIV-1,CCR5
Viral life cycle - HIV-1,CPSF6
Viral life cycle - HIV-1,TNPO3
Viral life cycle - HIV-1,NUP153
Viral life cycle - HIV-1,RAN
Viral life cycle - HIV-1,XPO1
Viral life cycle - HIV-1,CPSF7
Viral life cycle - HIV-1,RANBP2
Viral myocarditis,HLA-DOB
Viral myocarditis,HLA-E
Viral myocarditis,HLA-DQA2
Viral myocarditis,HLA-F
Viral myocarditis,HLA-G
Viral myocarditis,CYCS
Viral myocarditis,HLA-DQA1
Viral myocarditis,MYH6
Viral myocarditis,PRF1
Viral myocarditis,LAMA1
Viral myocarditis,MYH7
Viral myocarditis,FYN
Viral myocarditis,HLA-DPB1
Viral myocarditis,HLA-C
Viral myocarditis,LAMA2
Viral myocarditis,HLA-DPA1
Viral myocarditis,HLA-DMA
Viral myocarditis,HLA-DMB
Viral myocarditis,HLA-DOA
Viral myocarditis,CAV1
Viral myocarditis,RAC2
Viral myocarditis,HLA-A
Viral myocarditis,HLA-DQB1
Viral myocarditis,EIF4G3
Viral myocarditis,EIF4G2
Viral myocarditis,EIF4G1
Viral myocarditis,CXADR
Viral myocarditis,SGCG
Viral myocarditis,SGCD
Viral myocarditis,CD40
Viral myocarditis,CD40LG
Viral myocarditis,SGCB
Viral myocarditis,SGCA
Viral myocarditis,IGH
Viral myocarditis,ICAM1
Viral myocarditis,CCND1
Viral myocarditis,ACTG1
Viral myocarditis,ACTB
Viral myocarditis,DMD
Viral myocarditis,ITGB2
Viral myocarditis,ITGAL
Viral myocarditis,CD55
Viral myocarditis,DAG1
Viral myocarditis,CASP3
Viral myocarditis,CASP8
Viral myocarditis,CASP9
Viral myocarditis,HLA-B
Viral myocarditis,HLA-DRA
Viral myocarditis,BID
Viral myocarditis,HLA-DRB1
Viral myocarditis,ABL1
Viral myocarditis,RAC3
Viral myocarditis,HLA-DRB5
Viral myocarditis,HLA-DRB4
Viral myocarditis,RAC1
Viral myocarditis,CD28
Viral myocarditis,ABL2
Viral myocarditis,CD80
Viral myocarditis,CD86
Viral myocarditis,HLA-DRB3
Viral protein interaction with cytokine and cytokine receptor,CXCR2
Viral protein interaction with cytokine and cytokine receptor,CCR2
Viral protein interaction with cytokine and cytokine receptor,TNFRSF1B
Viral protein interaction with cytokine and cytokine receptor,XCL2
Viral protein interaction with cytokine and cytokine receptor,IL10
Viral protein interaction with cytokine and cytokine receptor,CXCR5
Viral protein interaction with cytokine and cytokine receptor,CXCL12
Viral protein interaction with cytokine and cytokine receptor,TNFRSF1A
Viral protein interaction with cytokine and cytokine receptor,XCL1
Viral protein interaction with cytokine and cytokine receptor,CXCL5
Viral protein interaction with cytokine and cytokine receptor,CXCL11
Viral protein interaction with cytokine and cytokine receptor,CXCL6
Viral protein interaction with cytokine and cytokine receptor,IL10RA
Viral protein interaction with cytokine and cytokine receptor,CCL25
Viral protein interaction with cytokine and cytokine receptor,CXCR1
Viral protein interaction with cytokine and cytokine receptor,CX3CL1
Viral protein interaction with cytokine and cytokine receptor,IL6
Viral protein interaction with cytokine and cytokine receptor,TNFSF10
Viral protein interaction with cytokine and cytokine receptor,CCL4L2
Viral protein interaction with cytokine and cytokine receptor,CXCL14
Viral protein interaction with cytokine and cytokine receptor,IL18R1
Viral protein interaction with cytokine and cytokine receptor,CCL26
Viral protein interaction with cytokine and cytokine receptor,IL18RAP
Viral protein interaction with cytokine and cytokine receptor,TNFRSF10A
Viral protein interaction with cytokine and cytokine receptor,TNFSF14
Viral protein interaction with cytokine and cytokine receptor,IL6ST
Viral protein interaction with cytokine and cytokine receptor,CXCL13
Viral protein interaction with cytokine and cytokine receptor,CXCL8
Viral protein interaction with cytokine and cytokine receptor,TNFRSF10B
Viral protein interaction with cytokine and cytokine receptor,TNFRSF10C
Viral protein interaction with cytokine and cytokine receptor,IL10RB
Viral protein interaction with cytokine and cytokine receptor,TNFRSF14
Viral protein interaction with cytokine and cytokine receptor,CX3CR1
Viral protein interaction with cytokine and cytokine receptor,TNFRSF10D
Viral protein interaction with cytokine and cytokine receptor,CCL22
Viral protein interaction with cytokine and cytokine receptor,CCL23
Viral protein interaction with cytokine and cytokine receptor,CCL4L1
Viral protein interaction with cytokine and cytokine receptor,LTA
Viral protein interaction with cytokine and cytokine receptor,LTBR
Viral protein interaction with cytokine and cytokine receptor,CCL2
Viral protein interaction with cytokine and cytokine receptor,CCL1
Viral protein interaction with cytokine and cytokine receptor,IL22RA1
Viral protein interaction with cytokine and cytokine receptor,ACKR3
Viral protein interaction with cytokine and cytokine receptor,CCL28
Viral protein interaction with cytokine and cytokine receptor,PPBP
Viral protein interaction with cytokine and cytokine receptor,IL20RB
Viral protein interaction with cytokine and cytokine receptor,IL20RA
Viral protein interaction with cytokine and cytokine receptor,PF4V1
Viral protein interaction with cytokine and cytokine receptor,PF4
Viral protein interaction with cytokine and cytokine receptor,ACKR4
Viral protein interaction with cytokine and cytokine receptor,IL20
Viral protein interaction with cytokine and cytokine receptor,CXCL10
Viral protein interaction with cytokine and cytokine receptor,CCL3
Viral protein interaction with cytokine and cytokine receptor,CCL3L1
Viral protein interaction with cytokine and cytokine receptor,CCL4
Viral protein interaction with cytokine and cytokine receptor,IL2RG
Viral protein interaction with cytokine and cytokine receptor,CCL21
Viral protein interaction with cytokine and cytokine receptor,CCL20
Viral protein interaction with cytokine and cytokine receptor,CCL19
Viral protein interaction with cytokine and cytokine receptor,CCL18
Viral protein interaction with cytokine and cytokine receptor,CCL17
Viral protein interaction with cytokine and cytokine receptor,CCL16
Viral protein interaction with cytokine and cytokine receptor,CCL24
Viral protein interaction with cytokine and cytokine receptor,CXCL9
Viral protein interaction with cytokine and cytokine receptor,CCL14
Viral protein interaction with cytokine and cytokine receptor,CCL13
Viral protein interaction with cytokine and cytokine receptor,CCL11
Viral protein interaction with cytokine and cytokine receptor,CCL8
Viral protein interaction with cytokine and cytokine receptor,CCL7
Viral protein interaction with cytokine and cytokine receptor,CCL5
Viral protein interaction with cytokine and cytokine receptor,IL18
Viral protein interaction with cytokine and cytokine receptor,CCL15
Viral protein interaction with cytokine and cytokine receptor,IL2RB
Viral protein interaction with cytokine and cytokine receptor,IL6R
Viral protein interaction with cytokine and cytokine receptor,CCR9
Viral protein interaction with cytokine and cytokine receptor,CXCR4
Viral protein interaction with cytokine and cytokine receptor,TNF
Viral protein interaction with cytokine and cytokine receptor,CSF1R
Viral protein interaction with cytokine and cytokine receptor,IL24
Viral protein interaction with cytokine and cytokine receptor,CCR1
Viral protein interaction with cytokine and cytokine receptor,CCR3
Viral protein interaction with cytokine and cytokine receptor,CCR4
Viral protein interaction with cytokine and cytokine receptor,IL19
Viral protein interaction with cytokine and cytokine receptor,CCR6
Viral protein interaction with cytokine and cytokine receptor,IL2
Viral protein interaction with cytokine and cytokine receptor,CXCL3
Viral protein interaction with cytokine and cytokine receptor,CCR7
Viral protein interaction with cytokine and cytokine receptor,CXCL1
Viral protein interaction with cytokine and cytokine receptor,CCR8
Viral protein interaction with cytokine and cytokine receptor,CCR5
Viral protein interaction with cytokine and cytokine receptor,CXCR3
Viral protein interaction with cytokine and cytokine receptor,XCR1
Viral protein interaction with cytokine and cytokine receptor,CCR10
Viral protein interaction with cytokine and cytokine receptor,IL37
Viral protein interaction with cytokine and cytokine receptor,IL34
Viral protein interaction with cytokine and cytokine receptor,CXCL2
Viral protein interaction with cytokine and cytokine receptor,CSF1
Viral protein interaction with cytokine and cytokine receptor,CCL3L3
Viral protein interaction with cytokine and cytokine receptor,CCL27
Viral protein interaction with cytokine and cytokine receptor,IL2RA
Vitamin B6 metabolism,PDXK
Vitamin B6 metabolism,AOX1
Vitamin B6 metabolism,PDXP
Vitamin B6 metabolism,PNPO
Vitamin B6 metabolism,PHOSPHO2
Vitamin B6 metabolism,PSAT1
Vitamin digestion and absorption,LRAT
Vitamin digestion and absorption,AWAT2
Vitamin digestion and absorption,SLC46A1
Vitamin digestion and absorption,FOLH1
Vitamin digestion and absorption,SCARB1
Vitamin digestion and absorption,PLB1
Vitamin digestion and absorption,BTD
Vitamin digestion and absorption,SLC19A1
Vitamin digestion and absorption,APOB
Vitamin digestion and absorption,SLC19A3
Vitamin digestion and absorption,CUBN
Vitamin digestion and absorption,TCN2
Vitamin digestion and absorption,RBP2
Vitamin digestion and absorption,LMBRD1
Vitamin digestion and absorption,CBLIF
Vitamin digestion and absorption,MMACHC
Vitamin digestion and absorption,SLC52A3
Vitamin digestion and absorption,SLC19A2
Vitamin digestion and absorption,SLC23A1
Vitamin digestion and absorption,SLC5A6
Vitamin digestion and absorption,APOA4
Vitamin digestion and absorption,APOA1
Vitamin digestion and absorption,ABCC1
Vitamin digestion and absorption,PNLIP
Wnt signaling pathway,CSNK2A3
Wnt signaling pathway,RBX1
Wnt signaling pathway,PPP3R1
Wnt signaling pathway,PPP3R2
Wnt signaling pathway,MYC
Wnt signaling pathway,EP300
Wnt signaling pathway,NFATC1
Wnt signaling pathway,NFATC3
Wnt signaling pathway,SENP2
Wnt signaling pathway,RAC1
Wnt signaling pathway,NLK
Wnt signaling pathway,PPP3CA
Wnt signaling pathway,PPP3CB
Wnt signaling pathway,RAC3
Wnt signaling pathway,RAC2
Wnt signaling pathway,CTNNB1
Wnt signaling pathway,CREBBP
Wnt signaling pathway,ROCK2
Wnt signaling pathway,CAMK2G
Wnt signaling pathway,MAPK10
Wnt signaling pathway,RHOA
Wnt signaling pathway,CCND1
Wnt signaling pathway,PRKCB
Wnt signaling pathway,NFATC2
Wnt signaling pathway,CAMK2A
Wnt signaling pathway,MAP3K7
Wnt signaling pathway,TP53
Wnt signaling pathway,CAMK2B
Wnt signaling pathway,PPARD
Wnt signaling pathway,MAPK8
Wnt signaling pathway,JUN
Wnt signaling pathway,CSNK2A1
Wnt signaling pathway,CSNK2B
Wnt signaling pathway,PRKACG
Wnt signaling pathway,CSNK2A2
Wnt signaling pathway,PRKACB
Wnt signaling pathway,NFATC4
Wnt signaling pathway,PRKACA
Wnt signaling pathway,MAPK9
Wnt signaling pathway,CAMK2D
Wnt signaling pathway,PRKCA
Wnt signaling pathway,PRKCG
Wnt signaling pathway,GSK3B
Wnt signaling pathway,PPP3CC
Wnt signaling pathway,LEF1
Wnt signaling pathway,DVL1
Wnt signaling pathway,DVL3
Wnt signaling pathway,DVL2
Wnt signaling pathway,FZD10
Wnt signaling pathway,PLCB1
Wnt signaling pathway,SERPINF1
Wnt signaling pathway,RNF43
Wnt signaling pathway,FZD2
Wnt signaling pathway,PLCB2
Wnt signaling pathway,PSEN1
Wnt signaling pathway,CTNNBIP1
Wnt signaling pathway,VANGL2
Wnt signaling pathway,CHD8
Wnt signaling pathway,LGR6
Wnt signaling pathway,RYK
Wnt signaling pathway,LGR4
Wnt signaling pathway,SFRP1
Wnt signaling pathway,LRP6
Wnt signaling pathway,WNT16
Wnt signaling pathway,WNT9A
Wnt signaling pathway,WNT2B
Wnt signaling pathway,WNT11
Wnt signaling pathway,WNT10B
Wnt signaling pathway,WNT8B
Wnt signaling pathway,WNT8A
Wnt signaling pathway,LRP5
Wnt signaling pathway,WNT7B
Wnt signaling pathway,WNT6
Wnt signaling pathway,WNT5A
Wnt signaling pathway,WNT3
Wnt signaling pathway,WNT2
Wnt signaling pathway,WNT1
Wnt signaling pathway,WNT4
Wnt signaling pathway,WNT7A
Wnt signaling pathway,SFRP2
Wnt signaling pathway,SFRP4
Wnt signaling pathway,SFRP5
Wnt signaling pathway,RSPO3
Wnt signaling pathway,NKD1
Wnt signaling pathway,NKD2
Wnt signaling pathway,LGR5
Wnt signaling pathway,RUVBL1
Wnt signaling pathway,CCN4
Wnt signaling pathway,ZNRF3
Wnt signaling pathway,TBL1Y
Wnt signaling pathway,PLCB3
Wnt signaling pathway,SIAH1
Wnt signaling pathway,BTRC
Wnt signaling pathway,PLCB4
Wnt signaling pathway,FBXW11
Wnt signaling pathway,CUL1
Wnt signaling pathway,CER1
Wnt signaling pathway,TCF7L1
Wnt signaling pathway,AXIN2
Wnt signaling pathway,AXIN1
Wnt signaling pathway,SOX17
Wnt signaling pathway,PORCN
Wnt signaling pathway,TBL1X
Wnt signaling pathway,TCF7
Wnt signaling pathway,TCF7L2
Wnt signaling pathway,TLE1
Wnt signaling pathway,TLE2
Wnt signaling pathway,TLE3
Wnt signaling pathway,TLE4
Wnt signaling pathway,TBL1XR1
Wnt signaling pathway,TLE6
Wnt signaling pathway,SKP1
Wnt signaling pathway,CXXC4
Wnt signaling pathway,FOSL1
Wnt signaling pathway,VANGL1
Wnt signaling pathway,WNT9B
Wnt signaling pathway,FZD5
Wnt signaling pathway,CCND3
Wnt signaling pathway,DAAM2
Wnt signaling pathway,NOTUM
Wnt signaling pathway,FZD9
Wnt signaling pathway,WNT3A
Wnt signaling pathway,DKK2
Wnt signaling pathway,DKK4
Wnt signaling pathway,CACYBP
Wnt signaling pathway,BAMBI
Wnt signaling pathway,CBY1
Wnt signaling pathway,FRZB
Wnt signaling pathway,TLE7
Wnt signaling pathway,FRAT2
Wnt signaling pathway,RSPO1
Wnt signaling pathway,DAAM1
Wnt signaling pathway,DKK1
Wnt signaling pathway,GPC4
Wnt signaling pathway,PRICKLE2
Wnt signaling pathway,WIF1
Wnt signaling pathway,CSNK1A1L
Wnt signaling pathway,PRICKLE1
Wnt signaling pathway,APCDD1L
Wnt signaling pathway,CTNND2
Wnt signaling pathway,CTBP2
Wnt signaling pathway,CTBP1
Wnt signaling pathway,APCDD1
Wnt signaling pathway,APC2
Wnt signaling pathway,PRICKLE4
Wnt signaling pathway,INVS
Wnt signaling pathway,RSPO2
Wnt signaling pathway,FZD3
Wnt signaling pathway,SOST
Wnt signaling pathway,WNT10A
Wnt signaling pathway,WNT5B
Wnt signaling pathway,CCND2
Wnt signaling pathway,ROR2
Wnt signaling pathway,ROR1
Wnt signaling pathway,CCDC88C
Wnt signaling pathway,CSNK1E
Wnt signaling pathway,MMP7
Wnt signaling pathway,APC
Wnt signaling pathway,FZD1
Wnt signaling pathway,SMAD3
Wnt signaling pathway,CSNK1A1
Wnt signaling pathway,RSPO4
Wnt signaling pathway,TPTEP2-CSNK1E
Wnt signaling pathway,FRAT1
Wnt signaling pathway,PRICKLE3
Wnt signaling pathway,FZD4
Wnt signaling pathway,FZD6
Wnt signaling pathway,FZD8
Wnt signaling pathway,SMAD4
Wnt signaling pathway,FZD7
Yersinia infection,CRKL
Yersinia infection,ARHGEF12
Yersinia infection,MAPK12
Yersinia infection,ARHGEF1
Yersinia infection,IGH
Yersinia infection,VAV1
Yersinia infection,ACTG1
Yersinia infection,BCAR1
Yersinia infection,AKT2
Yersinia infection,IRAK4
Yersinia infection,MAPK13
Yersinia infection,ROCK1
Yersinia infection,SRC
Yersinia infection,NFATC2
Yersinia infection,PIK3R3
Yersinia infection,DOCK1
Yersinia infection,MAPK14
Yersinia infection,FOS
Yersinia infection,JUN
Yersinia infection,PTK2
Yersinia infection,LIMK1
Yersinia infection,MAPK8
Yersinia infection,ACTB
Yersinia infection,CD4
Yersinia infection,MAPK11
Yersinia infection,MAPK9
Yersinia infection,MAPK10
Yersinia infection,PTK2B
Yersinia infection,CRK
Yersinia infection,TAB1
Yersinia infection,PIK3CD
Yersinia infection,GNAQ
Yersinia infection,LCP2
Yersinia infection,ITGA5
